lat_center,lon_center,x,y,img_id,vegetation_pct,water_pct
-3.90844,-38.65344,0,0,00_00,0.4677,0.1039
-3.90844,-38.65026,1,0,01_00,0.4379,0.0
-3.90844,-38.64709,2,0,02_00,0.6616,0.0
-3.90844,-38.64391,3,0,03_00,0.8944,0.0
-3.90844,-38.64074,4,0,04_00,0.9225,0.0
-3.90844,-38.63756,5,0,05_00,0.8473,0.0
-3.90844,-38.63439,6,0,06_00,0.8775,0.0
-3.90844,-38.63122,7,0,07_00,0.7776,0.0
-3.90844,-38.62804,8,0,08_00,0.4976,0.0
-3.90844,-38.62487,9,0,09_00,0.5823,0.0
-3.90844,-38.62169,10,0,10_00,0.3383,0.0
-3.90844,-38.61852,11,0,11_00,0.269,0.0
-3.90844,-38.61534,12,0,12_00,0.3462,0.0
-3.90844,-38.61217,13,0,13_00,0.2759,0.0
-3.90844,-38.60899,14,0,14_00,0.3314,0.0
-3.90844,-38.60582,15,0,15_00,0.4691,0.0
-3.90844,-38.60264,16,0,16_00,0.2866,0.0
-3.90844,-38.59947,17,0,17_00,0.4185,0.0
-3.90844,-38.59629,18,0,18_00,0.509,0.0
-3.90844,-38.59312,19,0,19_00,0.6293,0.0
-3.90844,-38.58995,20,0,20_00,0.6769,0.0
-3.90844,-38.58677,21,0,21_00,0.9403,0.0
-3.90844,-38.5836,22,0,22_00,0.9951,0.0
-3.90844,-38.58042,23,0,23_00,0.8499,0.0
-3.90844,-38.57725,24,0,24_00,0.7158,0.0
-3.90844,-38.57407,25,0,25_00,0.5101,0.025
-3.90844,-38.5709,26,0,26_00,0.2898,0.5799
-3.90844,-38.56772,27,0,27_00,0.2165,0.6637
-3.90844,-38.56455,28,0,28_00,0.2814,0.2608
-3.90844,-38.56137,29,0,29_00,0.1396,0.6772
-3.90844,-38.5582,30,0,30_00,0.0309,0.7531
-3.90844,-38.55502,31,0,31_00,0.2297,0.2976
-3.90844,-38.55185,32,0,32_00,0.7386,0.0
-3.90844,-38.54868,33,0,33_00,0.859,0.0
-3.90844,-38.5455,34,0,34_00,0.7923,0.0
-3.90844,-38.54233,35,0,35_00,0.6848,0.0
-3.90844,-38.53915,36,0,36_00,0.3714,0.0
-3.90844,-38.53598,37,0,37_00,0.3219,0.0
-3.90844,-38.5328,38,0,38_00,0.2273,0.0
-3.90844,-38.52963,39,0,39_00,0.2323,0.0
-3.90844,-38.52645,40,0,40_00,0.1431,0.0
-3.90844,-38.52328,41,0,41_00,0.1677,0.0
-3.90844,-38.5201,42,0,42_00,0.1477,0.0
-3.90844,-38.51693,43,0,43_00,0.0464,0.0
-3.90844,-38.51375,44,0,44_00,0.0107,0.0
-3.90844,-38.51058,45,0,45_00,0.0084,0.0
-3.90844,-38.50741,46,0,46_00,0.0422,0.0
-3.90844,-38.50423,47,0,47_00,0.0371,0.0
-3.90844,-38.50106,48,0,48_00,0.4697,0.0
-3.90844,-38.49788,49,0,49_00,0.3407,0.0
-3.90844,-38.49471,50,0,50_00,0.2549,0.2175
-3.90844,-38.49153,51,0,51_00,0.2464,0.2009
-3.90844,-38.48836,52,0,52_00,0.4817,0.1016
-3.90844,-38.48518,53,0,53_00,0.1177,0.6325
-3.90844,-38.48201,54,0,54_00,0.293,0.3392
-3.90844,-38.47883,55,0,55_00,0.0492,0.5275
-3.90844,-38.47566,56,0,56_00,0.0,0.9922
-3.90844,-38.47249,57,0,57_00,0.0,0.9915
-3.90844,-38.46931,58,0,58_00,0.0,0.9828
-3.90844,-38.46614,59,0,59_00,0.0,0.9455
-3.90844,-38.46296,60,0,60_00,0.2726,0.4791
-3.90844,-38.45979,61,0,61_00,0.494,0.0
-3.90844,-38.45661,62,0,62_00,0.2458,0.0
-3.90844,-38.45344,63,0,63_00,0.1398,0.0
-3.90526,-38.65344,0,1,00_01,0.131,0.4705
-3.90526,-38.65026,1,1,01_01,0.4534,0.0552
-3.90526,-38.64709,2,1,02_01,0.8094,0.0
-3.90526,-38.64391,3,1,03_01,0.8873,0.0
-3.90526,-38.64074,4,1,04_01,0.9123,0.0
-3.90526,-38.63756,5,1,05_01,0.942,0.0
-3.90526,-38.63439,6,1,06_01,0.8431,0.0
-3.90526,-38.63122,7,1,07_01,0.6102,0.0
-3.90526,-38.62804,8,1,08_01,0.4356,0.0
-3.90526,-38.62487,9,1,09_01,0.7528,0.0
-3.90526,-38.62169,10,1,10_01,0.4095,0.0
-3.90526,-38.61852,11,1,11_01,0.2091,0.0
-3.90526,-38.61534,12,1,12_01,0.1438,0.0
-3.90526,-38.61217,13,1,13_01,0.1289,0.0
-3.90526,-38.60899,14,1,14_01,0.3825,0.0
